instance=HRC102, CXPB1=0.5, MUTPB1=0.2, MUTPB2=0.2
Algorithm took 23.72s

gen, min, max, mean, std
153, 9480.18059, 10509.58938, 9689.34110, 213.40309
154, 9480.18059, 39546.94771, 9964.46490, 2983.03830
155, 9395.91617, 10807.14728, 9672.44168, 247.52934
156, 9440.20546, 10679.65824, 9645.02603, 235.49448
157, 9415.93715, 38868.40642, 9958.80431, 2918.51750
158, 9404.46237, 11215.92328, 9654.99520, 305.35229
159, 9408.18268, 10679.65824, 9688.64610, 306.08808
160, 9354.55460, 10943.48002, 9682.09661, 352.55242
161, 9385.19528, 10573.99907, 9613.37994, 249.10509
162, 9318.82324, 10831.55527, 9595.52322, 246.44825
163, 9313.19737, 55498.08018, 10010.98856, 4576.64124
164, 9313.19737, 10611.14731, 9593.36211, 302.85918
165, 9313.19737, 10448.32124, 9521.60104, 208.94664
166, 9313.19737, 10680.50871, 9523.77549, 265.87969
167, 9306.94476, 107465.48908, 10516.04274, 9747.29664
168, 9292.73891, 191293.86911, 11340.65075, 18087.75894
169, 9292.73891, 10804.11412, 9549.48553, 320.99017
170, 9292.73891, 11037.13962, 9480.31498, 247.87381
171, 9292.73891, 12298.79697, 9493.19653, 380.18806
172, 9288.88148, 153486.13246, 11214.89493, 14638.04639
173, 9288.88148, 181797.96115, 11218.39536, 17145.54599
174, 9164.99761, 10239.93442, 9461.89098, 219.31265
175, 9114.90361, 119008.45799, 11625.49895, 15174.03478
176, 9114.90361, 10805.34411, 9430.02009, 267.78497
177, 9107.21980, 10747.45448, 9457.70745, 313.82057
178, 9100.12086, 56860.70488, 9876.74756, 4730.11665
179, 9100.12086, 19257.29563, 9544.79339, 1033.14685
180, 9095.62069, 10615.49092, 9343.50309, 230.09362
181, 9095.62069, 10368.61099, 9369.93155, 295.64392
182, 9092.43705, 10543.20170, 9354.94231, 297.95486
183, 9095.62069, 130625.91375, 10555.21466, 12071.78955
184, 9095.62069, 22727.55340, 9443.91291, 1360.92324
185, 9095.62069, 10109.68494, 9282.70505, 223.48137
186, 9095.50011, 102325.52134, 10231.55565, 9259.80243
187, 9095.50011, 10850.69093, 9295.47007, 273.17532
188, 9076.21719, 202714.22068, 11179.83141, 19250.90674
189, 9061.43444, 10613.57873, 9258.80426, 224.52798
190, 9060.75357, 10542.18181, 9290.12719, 283.69215
191, 9060.75357, 28322.77230, 9498.95666, 1915.69914
192, 9031.68825, 185118.85969, 11725.61781, 18449.40557
193, 9031.68825, 10503.25346, 9273.50217, 275.54790
194, 9031.68825, 10116.10174, 9230.99402, 239.95849
195, 9031.68825, 192240.73679, 12635.35942, 23864.96772
196, 9014.51739, 129872.94479, 10435.08528, 12006.43068
197, 9003.02479, 10330.13197, 9214.13719, 240.62465
198, 9014.51739, 10577.12100, 9260.07391, 323.02834
199, 9014.51739, 179970.68829, 10958.95912, 16988.72318
200, 9005.64280, 11050.88101, 9222.45759, 337.36012
201, 9014.51739, 12092.71075, 9263.10899, 400.70486
202, 8925.93050, 10550.09579, 9191.79284, 275.20979
203, 8974.03805, 140268.25461, 10546.87384, 13041.73717
204, 8961.39915, 10244.64250, 9179.06657, 244.65776
205, 8961.39915, 34681.64482, 9460.78014, 2551.72409
206, 8948.77930, 10426.18746, 9136.86947, 260.74529
207, 8855.09080, 10244.64250, 9169.82842, 278.99574
208, 8826.42734, 10489.69654, 9164.95977, 293.86822
209, 8855.09080, 10085.21591, 9144.18079, 260.37711
210, 8819.45122, 9858.21646, 9080.25348, 197.72754
211, 8826.42734, 49943.38147, 9533.03370, 4069.21700
212, 8826.42734, 79629.53127, 9838.08014, 7022.11012
213, 8826.42734, 9976.24112, 9065.95276, 242.32690
214, 8826.42734, 10087.46424, 9002.42360, 208.07572
215, 8826.42734, 10490.75603, 9056.80365, 298.71507
216, 8826.42734, 14572.46401, 9049.31932, 615.15664
217, 8826.42734, 10263.41021, 9024.07145, 265.64002
218, 8824.77030, 10108.66866, 9034.52903, 286.60780
219, 8826.42734, 10083.34464, 8996.42325, 246.98697
220, 8826.42734, 10056.55245, 8988.03996, 234.17043
221, 8782.81453, 117493.84491, 10127.02969, 10797.14219
222, 8782.81453, 85390.75116, 9783.13065, 7603.64915
223, 8824.77030, 144974.38802, 10428.14359, 13525.98346
224, 8808.58153, 12862.53078, 9047.25686, 444.80399
225, 8787.49900, 24321.33618, 9181.14757, 1549.84927
226, 8775.80305, 49293.30097, 9437.45602, 4017.29721
227, 8775.80305, 10071.48752, 8990.68562, 305.52658
228, 8732.19024, 14521.83971, 9016.56032, 605.67230
229, 8730.53320, 31252.77964, 9197.89418, 2232.29671
230, 8730.53320, 10180.60927, 8964.77989, 298.06979
231, 8730.53320, 10245.60235, 8925.02891, 286.43224
232, 8730.53320, 9954.39755, 8924.66931, 233.79030
233, 8730.53320, 10233.70683, 8965.36966, 311.19666
234, 8730.53320, 9520.73676, 8904.38352, 214.81735
235, 8723.18507, 88983.52412, 9789.62101, 7968.66857
236, 8723.18507, 28833.13763, 9092.15302, 1999.89290
237, 8695.77541, 147659.06985, 10272.59069, 13810.04082
238, 8695.77541, 10175.77742, 8943.52506, 325.23667
239, 8695.77541, 10675.51110, 8905.99614, 316.72082
240, 8695.77541, 10108.36594, 8864.38734, 219.22451
241, 8682.26504, 9986.94268, 8855.89954, 239.69254
242, 8682.26504, 47500.68973, 9304.21708, 3850.82992
243, 8664.27302, 10358.92562, 8911.99294, 330.54175
244, 8664.27302, 10186.81874, 8900.54273, 317.36675
245, 8650.76265, 9924.13520, 8859.83017, 272.82428
246, 8650.76265, 9714.64354, 8821.04939, 237.51963
247, 8656.31508, 9834.74583, 8852.91874, 265.83488
248, 8656.31508, 10334.95617, 8868.45627, 323.13019
249, 8650.76265, 9983.95668, 8822.32501, 244.74141
250, 8642.93947, 9711.04638, 8857.37797, 236.04355
251, 8636.68098, 10206.57344, 8877.64166, 293.04071
252, 8634.98153, 10174.47811, 8887.36381, 328.06268
253, 8627.72222, 45522.43365, 9185.13470, 3659.69064
254, 8531.62671, 10118.65193, 8826.90489, 282.54809
255, 8531.62671, 10619.97301, 8823.41063, 353.30618
256, 8420.94625, 11263.20261, 8818.40786, 359.70221
257, 8420.94625, 16709.31064, 8897.65087, 849.08681
258, 8420.94625, 9975.08790, 8787.36677, 305.78001
259, 8420.94625, 9954.70986, 8766.85126, 296.89132
260, 8420.94625, 10442.65367, 8769.52104, 354.07396
261, 8394.68825, 9655.78584, 8670.50949, 245.26090
262, 8394.68825, 9844.58910, 8713.72162, 285.59709
