g, min, max, mean, std
334, 31488.46002, 43153.46542, 33109.20990, 2880.45149
335, 31488.46002, 44836.86168, 33023.09981, 2963.60396
336, 31488.45824, 43612.01610, 32612.86733, 2631.06709
337, 31488.45824, 225518.06646, 34921.72039, 19402.09587
338, 31488.45824, 492404.71102, 37287.67283, 45847.77432
339, 31424.58781, 272391.98251, 34902.20060, 24003.04768
340, 31424.58781, 42925.44652, 32828.60006, 3036.36659
341, 31345.38897, 42920.12478, 32737.45231, 2890.61086
342, 31345.38719, 43745.61785, 32906.66103, 2894.96718
343, 31312.69006, 149877.77920, 33770.71428, 11956.33711
344, 31248.81963, 42920.12478, 32822.43925, 2741.31768
345, 31248.81963, 48593.15985, 32954.63400, 3422.91429
346, 31248.81963, 44321.75238, 32637.17903, 2785.22216
347, 31248.81963, 308437.33962, 38013.91051, 38379.24763
348, 31164.32787, 55632.98298, 33039.84428, 3772.53187
349, 31169.61901, 44328.32708, 32790.43536, 2872.21860
350, 31105.74858, 45989.01377, 32431.49285, 2687.03049
351, 31105.74858, 47716.40270, 32652.78632, 3369.08597
352, 30966.38150, 43134.03971, 32505.06567, 2782.72973
353, 30966.38150, 130997.47616, 33516.90062, 10201.66430
354, 30966.38150, 44494.92380, 32697.90313, 3131.16583
355, 30887.09471, 114521.73919, 32896.59157, 8461.18618
356, 30887.09471, 47863.68981, 32572.26156, 3338.43415
357, 30887.09471, 42771.75296, 32440.14600, 3139.07277
358, 30887.09471, 114521.73919, 33046.63425, 8564.86814
359, 30848.25963, 366082.92545, 35418.77059, 33325.15665
360, 30887.09471, 43356.76588, 32252.64654, 2610.54875
361, 30887.09471, 40661.86172, 31798.78651, 1911.47739
362, 30849.09471, 143422.39246, 33496.74777, 11456.60395
363, 30709.72763, 42318.76125, 31865.40528, 2259.08747
364, 30709.72763, 45291.88504, 31945.80244, 2772.69128
365, 30709.72763, 41705.34454, 31521.95644, 1909.80056
366, 30579.62612, 46749.76942, 32046.24129, 3009.48628
367, 30579.62612, 41888.14205, 31753.48123, 2540.07175
368, 30579.62612, 43852.24248, 32155.80287, 3326.46605
369, 30579.62612, 461648.63768, 36218.70761, 42830.10025
370, 30579.62612, 42627.79852, 31836.89486, 2296.25488
371, 30541.62612, 42577.97955, 31699.64686, 2352.41973
372, 30541.62612, 41732.64107, 31367.54449, 1853.42246
373, 30540.97689, 387552.75760, 35207.89905, 35510.62012
374, 30540.97689, 51442.20184, 32230.33711, 3601.25508
375, 30540.97689, 122828.76128, 32471.27320, 9371.57109
376, 30526.31342, 238898.19785, 33664.00657, 20754.45191
377, 30526.31342, 445308.32109, 35700.27968, 41240.66773
378, 30459.23286, 74289.30560, 31951.40919, 4865.78072
379, 30459.23286, 44352.69966, 31556.34217, 2605.31684
380, 30414.02524, 47303.60032, 31667.55243, 2850.93971
381, 30414.02524, 42464.30596, 31632.48423, 2612.63103
382, 30414.02524, 279281.11499, 34252.85964, 24824.51258
383, 30378.18751, 41890.89940, 31926.03088, 2789.32708
384, 30303.51129, 41984.71610, 31427.03008, 2382.86171
385, 30303.51129, 44600.67560, 31806.80059, 3178.07657
386, 30287.54936, 40142.66506, 31210.17257, 1820.24349
387, 30287.54936, 42260.66435, 31854.39581, 2725.11411
388, 30245.62798, 44698.21430, 31576.86531, 2610.48761
389, 30287.54936, 45365.75489, 31233.56359, 2212.35893
390, 29683.97172, 42163.65708, 31913.87005, 3020.53265
391, 29683.97172, 40195.35504, 31323.60995, 2188.73180
392, 29683.97172, 43225.96424, 31756.31269, 3062.06853
393, 29669.30825, 570857.44192, 36907.49292, 53744.78426
394, 29683.97172, 44607.55425, 31043.46158, 2333.13503
395, 29668.65902, 40194.89758, 30914.04904, 2056.09653
396, 29470.39912, 39810.70150, 31027.41867, 2190.54099
397, 29470.39912, 45444.67459, 30933.19227, 2806.47399
398, 29576.34391, 47828.44617, 30485.07985, 2146.01391
399, 29470.39912, 39379.45194, 30369.91115, 1477.33414
400, 29470.39912, 41804.17276, 30635.39018, 2107.43622
401, 29470.39912, 40671.83182, 31021.12334, 2742.38442
402, 29470.39912, 49591.83548, 31409.21218, 3366.01339
403, 29470.39912, 43937.90452, 30992.03709, 3129.20797
404, 29362.77132, 43056.35610, 31196.37744, 3207.02764
405, 29362.77132, 461056.41700, 35097.45713, 42900.03414
406, 29362.77132, 485226.71089, 35366.11271, 45297.34323
407, 29362.77132, 39086.39527, 30364.45982, 2221.31615
408, 29362.77132, 42136.09510, 30414.08347, 2208.22259
409, 29351.60403, 43418.47457, 30995.70850, 3111.14383
410, 29351.60403, 41482.97236, 30421.25418, 2260.75705
411, 29351.60403, 39130.32247, 30470.28408, 2470.67049
412, 29351.60403, 40260.11643, 30443.47870, 2154.04288
413, 29351.60403, 40259.31929, 30529.57477, 2309.49626
414, 29351.60403, 41471.80507, 30483.50991, 2290.23056
415, 29351.60403, 41471.80507, 31001.58634, 3138.90854
416, 29182.41242, 43840.22509, 30584.18168, 3027.76050
417, 29182.41242, 42802.77513, 30674.11923, 2919.13747
418, 29175.26547, 176554.86014, 32450.53905, 14772.58101
419, 29164.09818, 564339.15134, 36827.61454, 53762.61851
420, 29164.09818, 43672.04183, 30678.29939, 3016.30881
421, 29164.09818, 258751.30942, 32711.47376, 22879.35954
422, 29164.09818, 43237.31970, 29929.36545, 2189.15243
423, 29164.09818, 43502.85021, 30124.17778, 2596.30945
424, 29164.09818, 40367.16211, 29921.88974, 1767.22731
425, 29164.09818, 42186.64315, 30413.87497, 2661.19467
426, 29164.09818, 41284.29922, 30416.17661, 2738.91608
427, 29164.09818, 43376.44395, 30422.79464, 2789.72458
428, 29164.09818, 41284.29922, 30186.73291, 2308.12370
429, 29154.96420, 40071.81344, 30527.60715, 2688.00415
430, 29154.96420, 44635.69557, 30453.16818, 2855.48918
431, 29154.96420, 124888.63405, 31922.80244, 11749.25767
432, 29154.96420, 41454.04970, 30246.59607, 2524.24834
433, 29152.33199, 42376.47782, 30566.29116, 2805.13045
434, 29154.96420, 552195.97979, 35355.02893, 51986.35282
435, 29154.96420, 41284.29922, 30296.87114, 2364.83097
436, 29154.96420, 126531.53891, 30949.15589, 9792.65584
437, 29154.96420, 57019.60031, 29935.31375, 3116.55863
438, 28964.12226, 93137.47523, 30691.38905, 6643.87077
439, 28964.12226, 41317.17148, 30529.79099, 2761.05894
440, 28964.12226, 48928.36882, 30151.51038, 2777.72382
441, 28964.12226, 39120.15451, 30444.72629, 2735.66732
442, 28964.12226, 41274.41940, 30721.70022, 3154.40779
443, 28964.12226, 35498.27115, 29722.53397, 1343.72851
444, 28964.12226, 41196.39610, 30602.48687, 2755.61292
445, 28964.12226, 44330.63065, 30051.05843, 2395.03415
446, 28857.12584, 41383.10545, 30362.07415, 2733.63538
447, 28857.12584, 38878.58816, 29917.59544, 2126.23909
